,id,qid1,qid2,Clean_q1_lem,Clean_q2_lem,is_duplicate,q1_len,q2_len,q1_num_words,q2_num_words,word_common,word_total,word_share,cwc_min,cwc_max,csc_min,csc_max,ctc_min,ctc_max,last_word_eq,first_word_eq,abs_len_diff,mean_len,longest_substr_ratio,fuzz_ratio,fuzz_partial_ratio,token_sort_ratio,token_set_ratio
94020,94020,55877,157084,what are some good reads on digital marketing,which are the best books on digital marketing,1,45,45,8,8,4,16,0.25,0.3999920001599968,0.3999920001599968,0.6666444451851604,0.6666444451851604,0.499993750078124,0.499993750078124,1,0,0,8.0,0.48936170212765956,73,74,64,73
166228,166228,52345,60274,how will the new currency notes of denomination 500 and 2k curb black money,would banning notes of denominations 500 and 1k help to curb the black money in system,1,75,86,14,16,8,30,0.27,0.39999600003999963,0.363633057881292,0.7499812504687383,0.5999880002399952,0.4999964285969386,0.43749726564208974,0,0,2,15.0,0.27848101265822783,67,71,72,75
361873,361873,28722,20607,how can you lose weight really quick,how can someone lose weight quickly,1,36,35,7,6,4,13,0.31,0.5999880002399952,0.5999880002399952,0.9999000099990001,0.49997500124993743,0.6666555557407376,0.5714204082798817,0,1,1,6.5,0.35135135135135137,76,75,76,82
196839,196839,297644,297645,why are toms so expensive in miami  florida,why are toms so popular in miami  florida,0,43,41,9,9,8,18,0.44,0.7999840003199936,0.7999840003199936,0.9999666677777407,0.9999666677777407,0.874989062636717,0.874989062636717,1,1,0,8.0,0.4418604651162791,83,81,78,89
371603,371603,21516,68946,what happens if instagram has  detected suspicious activity,what happens if there is suspicious activity on my instagram,0,59,60,9,10,6,19,0.32,0.5999880002399952,0.49999166680555324,0.49997500124993743,0.1999960000799984,0.499993750078124,0.39999600003999963,0,1,2,9.0,0.3225806451612903,64,62,76,87
808,808,1611,1612,what are the differences between larceny and robbery,what is the difference between the words burglary and robbery,0,52,61,8,10,5,17,0.29,0.49998750031249223,0.3999920001599968,0.7499812504687383,0.7499812504687383,0.6249921875976551,0.4999950000499995,1,1,2,9.0,0.2777777777777778,80,74,71,83
62249,62249,108531,108532,what is the difference between linear models  general linear models  and generalized linear models,what is the difference between general linear models and generalized linear models,0,98,82,16,12,10,21,0.48,0.8571306124198226,0.8571306124198226,0.9999750006249845,0.9999750006249845,0.8333263889467588,0.7142806122813409,1,1,2,13.0,0.36904761904761907,91,81,92,100
267328,267328,374477,187482,how  areal  are indian television reality shows,how real are reality shows,0,47,26,9,5,4,13,0.31,0.7499812504687383,0.49999166680555324,0.9999000099990001,0.9999000099990001,0.7999840003199936,0.5714204082798817,1,1,2,6.0,0.5357142857142857,72,59,74,100
299583,299583,422248,422249,may i take rabies injection after a week of dog bite,my pet dog bite me should i get rabies shot,0,52,43,11,10,4,21,0.19,0.37499531255859303,0.37499531255859303,0.0,0.0,0.2999970000299997,0.272724793410969,0,0,1,10.5,0.2,27,37,55,57
303590,303590,426746,386152,i want to start watching  doctor who   which season should i watch,as a new viewer  from which season should i start watching doctor who,1,66,69,15,14,9,26,0.35,0.4444395062277086,0.4444395062277086,0.49997500124993743,0.24999375015624611,0.4166631944733794,0.38461242605826107,0,0,1,12.5,0.3088235294117647,50,50,76,87
373682,373682,317921,504521,why was albert einstein considered an atheist,do atheists look down on albert einstein because he was religious,0,45,65,7,11,3,18,0.17,0.3999920001599968,0.3333277778703688,0.49997500124993743,0.1999960000799984,0.4285653062099113,0.272724793410969,0,0,4,9.0,0.3617021276595745,47,57,56,60
393679,393679,526499,526500,how do ufos work,how do ufos fly,1,16,15,4,4,3,8,0.38,0.3333222225925802,0.3333222225925802,0.9999000099990001,0.9999000099990001,0.49998750031249223,0.49998750031249223,0,1,0,4.0,0.4117647058823529,77,56,71,85
117751,117751,3260,11709,how can i build traffic for my website,how can i increase the traffic on a site,1,38,40,8,9,4,17,0.24,0.5999880002399952,0.5999880002399952,0.3333222225925802,0.24999375015624611,0.499993750078124,0.4444395062277086,0,1,1,8.5,0.25,69,67,49,67
345009,345009,473298,22846,what is the data structure of quora like,what is data structures,0,40,23,8,4,3,12,0.25,0.6666444451851604,0.3999920001599968,0.9999000099990001,0.3333222225925802,0.7499812504687383,0.37499531255859303,0,1,4,6.0,0.6,70,83,70,70
277562,277562,265568,31221,how can i get more followers in quora,how do you become famous and receive a lot of views  upvotes  and followers on quora,0,37,84,8,18,3,24,0.12,0.5999880002399952,0.33332962967078145,0.0,0.0,0.37499531255859303,0.18749882813232419,1,1,8,12.0,0.28205128205128205,53,61,42,68
364405,364405,494463,494464,what is c 60,what is 1 3 of 60,0,12,17,4,6,3,10,0.3,0.49997500124993743,0.3333222225925802,0.9999000099990001,0.49997500124993743,0.6666444451851604,0.3999920001599968,0,1,2,4.0,0.5714285714285714,76,62,69,91
201088,201088,3121,23147,will banning rs 500 and rs 1k notes help to solve black money and corruption,how will banning rs  500 and rs  1k notes help in overcoming corruption in india,1,76,80,15,17,9,27,0.33,0.2999970000299997,0.2999970000299997,0.49997500124993743,0.3333222225925802,0.3076899408466089,0.2666648889007407,0,0,2,14.0,0.2,75,76,71,83
186843,186843,284903,284904,what is the net present value  npv  of the iphone to apple,how are npv and irr affected by a change in the debt ratio,0,58,58,14,13,2,25,0.08,0.0,0.0,0.24999375015624611,0.1666638889351844,0.08333263889467588,0.07692248521165222,0,0,1,12.5,0.08333333333333333,28,38,32,36
131176,131176,25933,29413,how are the new indian currency notes of rs 500 and rs 2k going to help in curbing corruption,how will issuing of new 2k rs notes help curb black money and corruption,1,93,72,19,14,9,32,0.28,0.636357851292261,0.5833284722627311,0.6666444451851604,0.3333277778703688,0.6428525510532068,0.47368171746464494,1,1,5,16.5,0.15789473684210525,47,54,67,75
230408,230408,339930,339931,can anyone help translating this arabic text,can anyone help with translating this arabic text,0,44,49,7,8,7,15,0.47,0.9999833336111065,0.9999833336111065,0.9999000099990001,0.49997500124993743,0.999985714489793,0.874989062636717,1,1,1,7.5,0.6521739130434783,95,89,95,100
222434,222434,329993,179966,why would my dog eat a cat,why do dogs like to eat cat feces,0,26,33,7,8,3,15,0.2,0.3999920001599968,0.3333277778703688,0.0,0.0,0.28571020413994086,0.249996875039062,0,1,1,7.5,0.17857142857142858,58,63,54,64
203013,203013,132490,24099,what is the easiest way to learn how to draw,how can anyone learn how to draw,1,44,32,10,7,4,15,0.27,0.49998750031249223,0.3999920001599968,0.6666444451851604,0.49998750031249223,0.5714204082798817,0.39999600003999963,1,0,3,8.5,0.5588235294117647,58,74,47,76
248812,248812,197003,362309,what color does blue and red make,if yellow  blue and red are the primary colors  how do you make the color red,0,33,77,7,18,5,22,0.23,0.5999880002399952,0.33332962967078145,0.49997500124993743,0.1666638889351844,0.5714204082798817,0.24999843750976558,0,0,9,11.5,0.4,40,56,52,82
318153,318153,301875,122972,how exactly a magnetic brake work in an automobile  can it replace handbrake,can magnets work in space,0,76,25,14,5,3,19,0.16,0.49998750031249223,0.2222197531138543,0.9999000099990001,0.24999375015624611,0.5999880002399952,0.23076745563495665,0,0,8,9.0,0.3333333333333333,42,62,46,61
387129,387129,519433,277221,how the value of indian rupee decided,how is the value of the rupee decided with respect to the dollar,0,37,64,7,13,6,18,0.33,0.5999880002399952,0.49999166680555324,0.9999500024998749,0.3999920001599968,0.7142755103498521,0.38461242605826107,0,1,6,10.0,0.358974358974359,61,82,63,90
297523,297523,419901,377808,which are the top structural steel design companies in india,which are top 5 web designing companies in delhi ncr,0,60,52,10,10,5,20,0.25,0.28571020413994086,0.249996875039062,0.9999500024998749,0.6666444451851604,0.39999600003999963,0.39999600003999963,0,1,0,10.0,0.2222222222222222,70,64,64,67
151639,151639,238391,238392,what does it mean if a honda civic check engine light is flashing,what are some reasons the check engine light might come on on a ford focus,0,65,74,13,15,5,27,0.19,0.499993750078124,0.4444395062277086,0.1999960000799984,0.1999960000799984,0.38461242605826107,0.33333111112592584,0,1,2,14.0,0.29850746268656714,50,52,56,57
380029,380029,511610,416587,what are the chances that nifty will go down in the coming week,since nse is going down  is this a time to accumulate stocks,0,63,60,13,13,1,24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,12.5,0.08064516129032258,39,48,39,45
228279,228279,337309,337310,what were dr  b r  ambedkar s views about the muslim community,what were dr  ambedkar s views on islam,0,62,39,14,9,7,22,0.32,0.7999840003199936,0.5714204082798817,0.49997500124993743,0.3333222225925802,0.7142755103498521,0.4999950000499995,0,1,3,8.5,0.4634146341463415,71,80,69,87
197950,197950,207928,136637,is it scientifically possible to bring someone who is been dead for years  not buried  back to life,is it possible to bring dead bodies back to life in some sense with the help of current technologies and science,1,99,112,20,21,8,37,0.22,0.4166631944733794,0.4166631944733794,0.49998750031249223,0.249996875039062,0.41176228375127205,0.3333317460393046,0,1,4,19.0,0.19,43,45,65,61
57771,57771,92829,101486,what are some of the best tips you have for someone who wants to quit meat and dairy easily,what are some tips you would give to someone who has been out of the job interview loop for a number of years,0,91,109,19,23,11,41,0.27,0.33332962967078145,0.2999970000299997,0.7999920000799993,0.666661111157407,0.5789443213456771,0.47825879017917317,0,1,4,21.0,0.15053763440860216,52,51,63,72
20566,20566,38787,38788,why were hawx and hawx 2 removed from steam store,can you install game mods for games that were bought in steam,0,49,61,10,12,2,21,0.1,0.0,0.0,0.3333222225925802,0.1999960000799984,0.09999900000999991,0.08333263889467588,0,0,2,11.0,0.11764705882352941,29,43,55,44
218491,218491,113473,325107,which are the manga related episodes in  naruto shippuden  anime,what filler episodes of naruto should i watch to understand naruto and naruto shippuden completely,0,64,98,12,15,3,24,0.12,0.14285510206997043,0.11110987655692715,0.0,0.0,0.09999900000999991,0.06666622222518517,0,0,5,12.5,0.24242424242424243,47,46,55,59
195902,195902,296477,296478,is castor oil enough for beard growth,does eucalyptus oil help with beard growth,0,37,42,7,7,3,14,0.21,0.49999166680555324,0.49999166680555324,0.0,0.0,0.4285653062099113,0.4285653062099113,1,0,0,7.0,0.358974358974359,63,65,53,60
13656,13656,26206,26207,given an array of integers a and an integer k  find a subarray that contains the largest sum  subject to a constraint that the sum is less than k,i have an array of n integers  how many subarrays are contained in my array,0,145,75,31,16,5,38,0.13,0.11110987655692715,0.062499609377441395,0.3333277778703688,0.2222197531138543,0.1999986666755555,0.1034479191451064,0,0,14,22.0,0.16883116883116883,48,61,48,54
322080,322080,447851,419174,how does trump believe that philippine president rodrigo duterte calling obama  son of bitch  is a symbol of respect to the u s  by the philippines,why did the philippine president rodrigo duterte call barack obama a  son of a bitch,1,147,84,29,16,11,40,0.28,0.4999950000499995,0.33333111112592584,0.7499812504687383,0.37499531255859303,0.5333297778014814,0.31999872000512,0,0,10,20.0,0.3333333333333333,60,78,63,86
358843,358843,488390,488391,what do people on econjobrumors think of peter thiel s  innovation is stagnating  quote,what do people on econjobrumors think of peter thiel,0,87,52,16,9,9,24,0.38,0.8333194446759221,0.5555493827846357,0.9999666677777407,0.7499812504687383,0.8888790124554172,0.6153798816932178,0,1,4,11.0,0.9629629629629629,75,98,76,100
371343,371343,501957,501958,what is mac,what is the mac,1,11,15,3,4,3,7,0.43,0.49997500124993743,0.49997500124993743,0.9999000099990001,0.49997500124993743,0.6666444451851604,0.49998750031249223,0,1,1,3.5,0.6153846153846154,85,67,85,100
95235,95235,158888,158889,hello please who could help me with the name of a good product for hyper pigmentation and dark spots from acne  please somebodyyy,i have a constant need to masturbate  i get turned on quickly  what should i do,0,129,79,24,18,2,38,0.05,0.0,0.0,0.1999960000799984,0.11110987655692715,0.062499609377441395,0.043478071834470285,0,0,7,19.5,0.06172839506172839,19,22,20,22
148323,148323,233899,233900,what does the name india symbolize,which is the best symbol of love in india,0,34,41,6,9,2,15,0.13,0.0,0.0,0.49997500124993743,0.24999375015624611,0.1666638889351844,0.11110987655692715,0,0,3,7.5,0.19444444444444445,48,51,64,67
212557,212557,35730,317670,what is your definition of  friends,what is your definition of a friend,1,35,35,7,7,5,14,0.36,0.3333222225925802,0.3333222225925802,0.9999500024998749,0.49998750031249223,0.5999880002399952,0.4285653062099113,0,0,2,6.0,0.5675675675675675,96,89,91,91
321877,321877,48085,59682,will hillary clinton cause wwiii by going to war with syria,do you realize if clinton wins we will go to war with russia  she will be the cause of ww3,1,59,90,11,21,6,31,0.19,0.37499531255859303,0.2999970000299997,0.6666444451851604,0.2222197531138543,0.454541322351615,0.24999875000624996,0,0,9,15.5,0.21311475409836064,48,57,59,67
213934,213934,23423,66094,what happens to our body after we die,what happens to us when we die,1,37,30,8,7,5,15,0.33,0.7499812504687383,0.7499812504687383,0.6666444451851604,0.49998750031249223,0.7142755103498521,0.6249921875976551,1,1,1,7.5,0.5,78,65,66,85
121006,121006,6801,5514,what is the best way to talk english fluently,how can i speak english more fluently,1,45,37,9,7,2,16,0.12,0.3999920001599968,0.3333277778703688,0.0,0.0,0.28571020413994086,0.2222197531138543,1,0,2,8.0,0.2564102564102564,61,70,56,60
286476,286476,407074,25549,what are the advantages and disadvantages of federalism for democracy,what are the advantages and disadvantages of federal goverment,0,69,62,10,9,7,19,0.37,0.5999880002399952,0.5999880002399952,0.9999750006249845,0.7999840003199936,0.7777691358984901,0.6999930000699993,0,1,1,9.5,0.8125,82,89,81,83
38000,38000,69075,69076,what is the difference between ginger ale and ginger beer,beverages  what is the difference between ginger ale and ginger beer,1,57,68,10,12,9,20,0.45,0.7999840003199936,0.6666555557407376,0.9999666677777407,0.7499812504687383,0.7777691358984901,0.636357851292261,1,0,2,10.0,0.896551724137931,90,96,91,98
115869,115869,188864,188865,how can bees be protected as endangered species,how are endangered species protected,0,47,36,8,5,4,13,0.31,0.49998750031249223,0.3999920001599968,0.0,0.0,0.3999920001599968,0.249996875039062,0,1,3,6.5,0.5,60,69,84,94
248339,248339,35817,361745,what is the difference between trance and house music,what is your review of trance music,0,53,35,9,7,4,16,0.25,0.49998750031249223,0.3999920001599968,0.3333222225925802,0.24999375015624611,0.4285653062099113,0.33332962967078145,0,1,2,8.0,0.21621621621621623,59,53,50,73
260522,260522,58696,28818,is it possible to view someone s private instagram account,how do i see a private instagram account,1,58,40,10,8,3,18,0.17,0.49999166680555324,0.4285653062099113,0.0,0.0,0.37499531255859303,0.33332962967078145,1,0,1,8.5,0.6428571428571429,65,79,59,77
292018,292018,9892,386052,what is it like to be an animal,what is it like to be an animator,0,31,33,8,8,7,16,0.44,0.6666444451851604,0.6666444451851604,0.999980000399992,0.999980000399992,0.874989062636717,0.874989062636717,0,1,0,8.0,0.9090909090909091,94,94,94,94
140988,140988,223932,223933,i want to unsubscribe from quora  how can i,i want to unsuscribe  i have no interest in quora  how to do that,1,43,65,10,16,6,22,0.27,0.49999166680555324,0.49999166680555324,0.3333222225925802,0.1666638889351844,0.4444395062277086,0.28571224491253633,0,1,5,11.5,0.3111111111111111,65,57,65,73
185879,185879,2575,43042,where can i get good quality cupcakes and a lot of different flavor in gold coast,where can i get best flavors  designs and decorations for cupcakes at gold coast,1,81,80,16,15,8,31,0.26,0.5999940000599994,0.545449586821938,0.49998750031249223,0.3999920001599968,0.5714244898250727,0.49999687501953116,1,1,2,15.0,0.1951219512195122,55,54,64,69
396606,396606,529679,299337,what has been the role of v p menon in the partition and the integration of india,was the partition of india necessary,0,81,36,17,6,4,20,0.2,0.24999375015624611,0.14285510206997043,0.9999500024998749,0.3333277778703688,0.49999166680555324,0.18749882813232419,0,0,10,11.0,0.39473684210526316,44,62,50,76
50403,50403,89548,89549,why is my quora feed always showing the same questions,why do i see the exact same questions in my feed all the time,1,54,61,10,14,6,23,0.26,0.3333277778703688,0.28571020413994086,0.7499812504687383,0.49999166680555324,0.4999950000499995,0.35714030614067044,0,1,4,12.0,0.26785714285714285,47,47,66,72
123469,123469,199622,156190,how can i spy on someones snapchat,how do you spy on facebook,0,34,26,7,6,3,13,0.23,0.6666444451851604,0.3999920001599968,0.49997500124993743,0.3333222225925802,0.49999166680555324,0.4285653062099113,0,1,1,6.5,0.2857142857142857,50,56,40,56
354521,354521,27067,25909,how do i block certain people on quora,how do you block someone on quora,1,38,33,8,7,5,15,0.33,0.7499812504687383,0.49999166680555324,0.9999500024998749,0.6666444451851604,0.7142755103498521,0.6249921875976551,1,1,1,7.5,0.3142857142857143,73,65,59,78
219340,219340,188963,326188,can i use my android phone as a tv remote  i do not have ir blaster and do not want to use one   is there any app to help me,is there an android app for ir capable phones to use the ir remotely,0,124,68,33,14,7,39,0.18,0.6249921875976551,0.31249804688720695,0.3999920001599968,0.2222197531138543,0.4999964285969386,0.2499991071460459,0,0,14,21.0,0.15714285714285714,23,49,60,65
115900,115900,188906,188907,what are the pros and cons of being a ground duty officer in the iaf,how is family life as a ground duty officer in iaf,0,68,50,15,11,6,25,0.24,0.5714204082798817,0.5714204082798817,0.49998750031249223,0.28571020413994086,0.545449586821938,0.399997333351111,1,0,4,13.0,0.5,58,71,56,72
22292,22292,41861,41862,if you are a chinese citizen of the hksar and hold a valid mainland china home return permit  港澳居民來往內地通行證  for how long can you enter and remain in mainland china  is there any time limitation at all,if you are a chinese citizen of the hksar and hold a valid mainland china home return permit  港澳居民來往內地通行證   can you enter mainland china without it,1,199,147,40,29,21,56,0.38,0.799994666702222,0.5999970000149999,0.999985714489793,0.5384573964815655,0.7307664201291534,0.5135121256429036,0,1,11,31.5,0.7114093959731543,81,87,80,95
121205,121205,196443,196444,how can i hack any atm machine,is hacking an atm possible,1,30,26,7,5,1,12,0.08,0.24999375015624611,0.1999960000799984,0.0,0.0,0.1999960000799984,0.14285510206997043,0,0,2,6.0,0.17857142857142858,57,68,57,57
282336,282336,310984,280143,how is the word  probity  used in a sentence,how is the word  eventuality  used in a sentence,0,44,48,11,11,9,20,0.45,0.7999840003199936,0.7999840003199936,0.9999750006249845,0.9999750006249845,0.8888790124554172,0.8888790124554172,1,1,0,9.0,0.43478260869565216,87,78,77,89
66938,66938,115927,115928,what are the enlightened despots  what is the meaning of enlightenment despots,what is the meaning of enlightenment despots,1,78,44,13,7,7,17,0.41,0.9999750006249845,0.7999840003199936,0.9999666677777407,0.7499812504687383,0.999985714489793,0.5833284722627311,1,1,5,9.5,0.9782608695652174,72,100,73,100
115228,115228,2559,39426,what are the best ways to lose weight,what are the ways of losing weight,1,37,34,8,7,5,15,0.33,0.7499812504687383,0.5999880002399952,0.6666444451851604,0.6666444451851604,0.7142755103498521,0.6249921875976551,1,1,1,7.5,0.3611111111111111,85,80,79,85
354220,354220,483314,483315,which is more common  a conservative democrat or a liberal republican  why so,why is the democratic party becoming more conservative while the republican party is becoming more liberal,0,77,106,15,16,6,24,0.25,0.28571020413994086,0.249996875039062,0.49998750031249223,0.49998750031249223,0.3076899408466089,0.24999843750976558,0,0,3,14.5,0.17721518987341772,47,54,73,84
232381,232381,342391,342392,what does arnab goswami think of himself,what do you think about arnab goswami,0,40,37,7,7,4,14,0.29,0.7499812504687383,0.5999880002399952,0.0,0.0,0.4285653062099113,0.4285653062099113,0,1,0,7.0,0.358974358974359,55,55,70,79
95473,95473,159222,159223,are there any side effects of protein powder  if yes  how do i overcome them,is there a problem by taking chronic steroids  if yes  how do you overcome the side effects,0,76,91,17,19,9,34,0.26,0.39999600003999963,0.39999600003999963,0.5999880002399952,0.4285653062099113,0.4666635555762962,0.41176228375127205,0,0,2,16.0,0.21794871794871795,55,60,69,74
230748,230748,304071,20566,what attracted the british to come and rule india for 150 years,did the british come to india to rule or for some other purposes,1,63,64,12,13,7,24,0.29,0.6666555557407376,0.499993750078124,0.7499812504687383,0.49999166680555324,0.5833284722627311,0.5384573964815655,0,0,1,12.5,0.2153846153846154,54,55,57,72
96764,96764,161129,161130,where can i hire thoroughly trained pest control professionals in randwick,where can i hire highly skilled pest control operators in randwick,1,74,66,11,11,8,22,0.36,0.6666592593415629,0.6666592593415629,0.9999500024998749,0.9999500024998749,0.727266115762584,0.727266115762584,1,1,0,11.0,0.25,80,73,64,77
296287,296287,418471,418472,how we calculate the load of a ups,which books should i read if i want to get in the mindset of an entrepreneur,0,34,76,8,16,2,23,0.09,0.0,0.0,0.49998750031249223,0.28571020413994086,0.249996875039062,0.12499921875488279,0,0,8,12.0,0.1388888888888889,35,49,35,35
302765,302765,14298,14142,is time travel possible  if yes how,is time travel already possible on earth,1,35,40,8,7,4,15,0.27,0.49999166680555324,0.49999166680555324,0.0,0.0,0.4285653062099113,0.4285653062099113,0,1,0,7.0,0.4166666666666667,72,71,68,81
313520,313520,24334,438094,what hotel in darjeeling hill station would be safe for unmarried couples  without the harassment of police  hotel staff  and moral police,what hotel in coonoor hill station would be safe for unmarried couples  without the harassment of police  hotel staff  and moral police,0,138,135,25,25,20,42,0.48,0.9285647959657432,0.9285647959657432,0.9999833336111065,0.9999833336111065,0.9047575963923982,0.9047575963923982,1,1,0,21.0,0.8394160583941606,95,93,93,97
60781,60781,27465,14876,why are you voting for donald trump over hillary clinton,are there any legitimate reasons why one would vote for donald trump,0,56,68,10,12,5,22,0.23,0.1666638889351844,0.124998437519531,0.24999375015624611,0.24999375015624611,0.19999800001999982,0.16666527778935175,0,0,2,11.0,0.29310344827586204,47,62,61,66
69976,69976,120685,120686,which are the best android phones under rs 3500 in india,which is the best phone to buy under 20k,0,56,40,11,9,4,20,0.2,0.3999920001599968,0.28571020413994086,0.49998750031249223,0.49998750031249223,0.4444395062277086,0.363633057881292,0,1,2,10.0,0.22727272727272727,61,65,65,67
248357,248357,361760,361761,how do i apply standardscaler   in scikit learn to real value features and not the nominal features,how do i use voice as a test data for scikit,0,99,44,19,11,4,28,0.14,0.28571020413994086,0.19999800001999982,0.24999375015624611,0.1666638889351844,0.272724793410969,0.18749882813232419,0,1,5,13.5,0.1956521739130435,32,47,43,51
267021,267021,384302,384303,what is a better choice  maths and computing or economics,should i get a master s degree in economics or statistics,0,57,57,11,11,3,22,0.14,0.0,0.0,0.6666444451851604,0.49998750031249223,0.19999800001999982,0.19999800001999982,0,0,0,10.0,0.13559322033898305,42,43,51,50
30152,30152,55727,55728,if a company is sold for dollar 100 million  how much would the ceo founder s  be expected to make,if you had dollar 100 million to make a movie  what would you make,0,98,66,22,15,9,34,0.26,0.5714204082798817,0.39999600003999963,0.3999920001599968,0.28571020413994086,0.4615349112699133,0.35293910035823317,1,1,4,15.0,0.20967741935483872,49,52,52,76
25180,25180,46952,46953,why international songs are not working on various music applications,why is not there any international song contest like eurovision,0,69,63,10,10,3,20,0.15,0.3333277778703688,0.28571020413994086,0.0,0.0,0.2222197531138543,0.19999800001999982,0,1,1,9.5,0.3125,49,46,50,50
178373,178373,17054,248398,what is one thing you will never do in your life,what is the one thing you will never regret in your life,0,48,56,11,12,10,23,0.43,0.999980000399992,0.8333194446759221,0.8333194446759221,0.8333194446759221,0.90908264470323,0.8333263889467588,1,1,1,11.5,0.52,88,84,87,97
339757,339757,107257,467425,why do people make fun of selfharmers,why do people make fun of depression,0,37,36,7,7,6,14,0.43,0.7999840003199936,0.7999840003199936,0.9999500024998749,0.9999500024998749,0.8571306124198226,0.8571306124198226,0,1,0,7.0,0.6842105263157895,77,81,68,82
300164,300164,44282,110047,what is the last thing you would like to do before you die,what is the one thing that you want to do before you die,1,58,56,13,13,9,24,0.38,0.5999880002399952,0.49999166680555324,0.9999833336111065,0.8571306124198226,0.69230236690487,0.69230236690487,1,1,0,13.0,0.3793103448275862,79,77,79,84
230837,230837,60738,102929,what should i do for belly fat,what should i eat to get rid of belly fat,1,30,41,7,10,5,17,0.29,0.9999750006249845,0.5714204082798817,0.3333222225925802,0.3333222225925802,0.7142755103498521,0.4999950000499995,1,1,3,8.5,0.4375,76,63,70,87
331643,331643,228913,458549,where are the majority of quora users from,who and where are the majority of quora users based,1,42,51,8,10,7,18,0.39,0.5999880002399952,0.5999880002399952,0.9999666677777407,0.5999880002399952,0.7499906251171861,0.5999940000599994,0,0,2,9.0,0.8409090909090909,82,88,82,94
144491,144491,228664,228665,where can i find a commercial office space in noida,are you looking for commercial office space in noida,1,51,52,10,9,5,19,0.26,0.6666555557407376,0.5714204082798817,0.3333222225925802,0.3333222225925802,0.5555493827846357,0.4999950000499995,1,0,1,9.5,0.6415094339622641,76,77,72,77
183137,183137,280119,280120,what is a copyright intern,is a copyright international,0,26,28,5,4,3,9,0.33,0.0,0.0,0.9999000099990001,0.49997500124993743,0.24999375015624611,0.1999960000799984,0,0,1,4.5,0.5357142857142857,78,70,78,85
171279,171279,264668,264669,how do i treat false curvature of legs,how can i treat false curvature of my legs,1,38,42,8,9,7,17,0.41,0.999980000399992,0.8333194446759221,0.3333222225925802,0.3333222225925802,0.7499906251171861,0.6666592593415629,1,1,1,8.5,0.65,90,82,88,96
3660,3660,7249,7250,is it bad to rev your engine in park,is it bad to rev your engine while you are in park,1,36,50,9,12,9,21,0.43,0.999980000399992,0.999980000399992,0.9999750006249845,0.5714204082798817,0.9999888890123443,0.7499937500520829,1,1,3,10.5,0.7631578947368421,84,84,84,100
180396,180396,227787,221311,what is the definition of cell,what is the definition of a plant cell,0,30,38,6,8,6,14,0.43,0.9999666677777407,0.7499812504687383,0.9999666677777407,0.7499812504687383,0.9999833336111065,0.7499906251171861,1,1,2,7.0,0.8125,88,87,88,100
376784,376784,289835,97617,which is the best month to visit japan,when is the best time of year to visit japan,1,38,44,8,10,6,18,0.33,0.5999880002399952,0.49999166680555324,0.9999666677777407,0.7499812504687383,0.7499906251171861,0.5999940000599994,1,0,2,9.0,0.4,78,74,76,81
186936,186936,285023,65247,how can i increase my memory power,what are the best ways to improve my memory,0,34,43,7,9,2,16,0.12,0.0,0.0,0.49997500124993743,0.24999375015624611,0.14285510206997043,0.11110987655692715,0,0,2,8.0,0.3055555555555556,42,57,49,49
100553,100553,166770,166771,why is sex and nudity in movies considered more unsuitable than gore and violence,why violence is more tolerated in tv movies rather than sex   nudity,1,81,68,14,14,9,26,0.35,0.249996875039062,0.249996875039062,0.9999750006249845,0.7999840003199936,0.49999583336805525,0.4285683673688045,0,1,2,13.0,0.12857142857142856,16,45,68,82
96327,96327,11804,547,how can i increase the traffic to my website,how do i get traffic for website,1,44,32,9,7,4,16,0.25,0.7499812504687383,0.5999880002399952,0.0,0.0,0.4285653062099113,0.33332962967078145,1,1,2,8.0,0.2647058823529412,71,64,58,79
170242,170242,263269,263270,what is the new time pattern in ibps po mains,what is the new pattern of the ibps po,1,45,38,10,9,7,18,0.39,0.7999840003199936,0.5714204082798817,0.6666444451851604,0.6666444451851604,0.6666592593415629,0.5999940000599994,0,1,1,9.5,0.4,77,82,82,95
164618,164618,255747,255748,can i ever find true love,am i ever going to find my true love,1,25,36,6,9,5,15,0.33,0.8333194446759221,0.7142755103498521,0.0,0.0,0.8333194446759221,0.5555493827846357,1,0,3,7.5,0.4074074074074074,75,69,75,91
5228,5228,10295,7343,how can i get more answers for my question on quora,why are my questions not answered on quora,0,51,42,11,8,3,19,0.16,0.24999375015624611,0.1666638889351844,0.49998750031249223,0.3999920001599968,0.37499531255859303,0.272724793410969,1,0,3,9.5,0.2727272727272727,56,67,67,67
341537,341537,469385,136846,what are the problems faced by the it employees,which debate is traditionally more important for presidential nominees  the first or the third debate,0,47,101,9,16,1,22,0.05,0.0,0.0,0.3333222225925802,0.1999960000799984,0.11110987655692715,0.06666622222518517,0,0,6,12.0,0.10204081632653061,31,41,33,32
39798,39798,72111,62336,who is most likely to be president of the united states on january 20th  2017,who will be president of the united states,1,77,42,16,8,7,24,0.29,0.24999375015624611,0.124998437519531,0.7499812504687383,0.4285653062099113,0.499993750078124,0.2666648889007407,0,1,7,11.5,0.36363636363636365,69,74,63,94
94542,94542,157861,157862,is there a difference between ongoing and on going,which is correct  ongoing or on going,0,50,37,9,8,4,17,0.24,0.49998750031249223,0.49998750031249223,0.0,0.0,0.3333277778703688,0.249996875039062,1,0,2,7.0,0.2564102564102564,55,61,58,69
